西安安驰物流有限责任公司,今天,30,0,面包车司机,8000-12000元/月,招只开车C1司机,C1 应聘者自带车 公司提供车 面包车,招10人 学历不限 经验不限,西安 - 经开区 - 草滩 西安经开区京东冷链西北运营中心尚宏路瀚溥物流园A栋京东冷链西北运营中心尚宏路店 查看地图,岗位职责:1、负责仓库的货物运送、数量清点;2、负责公司车辆保养、维修和清洁工作;任职资格:1、年龄28-55岁，c1驾照2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识;3、懂商务接待礼仪，具有一定的服务意识:4、为人踏实、老实忠厚，保密意识强、责任心强，能适应加班
未找到数据,今天,152,7,面包车司机,4000-5500元/月,招C1面包车配送司机~急,包住 饭补 话补,招若干 学历不限 经验不限,西安 - 国际港务区 - 西安奥体中心 西安国际港务区和畅路与元朔大道交叉口东北侧华南城E区 查看地图,1.C1驾照，不需从业资格证，我们是正规公司，不是中介，不需要任何费用。2.吃苦耐劳，有团队合作精神，听从领导安排。3.工资4000—5500/月，个月4000，第二个月4500，第三个月5000，第四个月55004.现在可安排住宿5.上班时间：早8:30晚6:30，有活就干，没活就歇着，一天具体几趟没数，几件货是一趟，几十件货，1百件也是一趟。6.开的面包车，都是轻货，玻璃胶结构胶发泡胶，一件货十来公斤，自装自卸，说累也不累，但也算体力活.7.还有什么情况要咨询，直接来面谈。
未找到数据,今天,3249,60,前台/接待,薪资面议,诚聘礼仪接待,五险一金 包住 包吃 年底双薪 周末双休 交通补助 加班补助 饭补 话补 房补,招3人 学历不限 经验不限,西安 - 碑林 西安碑林陕西省西安市碑林区文艺路街道友谊东路81号 查看地图,岗位职责：1、及时、准确接听/转接电话，如需要，记录留言并及时转达；2、接待来访客人并及时准确通知被访人员；3、收发公司邮件、报刊、传真和物品，并做好登记管理以及转递工作；4、负责快件收发、机票及火车票的准确预定；5、负责前台区域的环境维护，保证设备安全及正常运转（包括复印机、空调及打卡机等）；6、协助公司员工的复印、传真等工作；7、完成上级主管交办的其它工作任职资格：1、形象好，气质佳，年龄18—24岁，身高1.65以上；2、大专及以上学历，1年相关工作经验，文秘、行政管理等相关专业优先考虑；3、较强的服务意识，熟练使用电脑办公软件；4、具备良好的协调能力、沟通能力，负有责任心，性格活泼开朗，具有亲和力；5、普通话准确流利；6、具备一定商务礼仪知识。工作时间：
未找到数据,今天,104,26,服务员,4000-5000元/月,诚聘储备干部,火锅店 包住 包吃 加班补助,招4人 本科 经验不限,西安 - 高新区 - 高新路 西安高新区高新路86号 时代广场西北角庄严巷大刀涮肉 查看地图,工作内容：了解前厅所有岗位工作及流程；协助店长和前厅主管做好管理。职位要求：服从安排。工作时间：9:30-14:00 ；16:30-22:00。多店面，可就近分配 有意向可直接拨打电话联系
未找到数据,今天,268,8,财务文员/助理,3500-5000元/月,急招财务助理,年底双薪 加班补助 话补 包住 定期团建 购买意外保险 年终奖,招6人 学历不限 经验不限,西安 - 国际港务区 - 保税区 西安国际港务区港务区百利威电商产业园1号库 查看地图,主要工作内容：对账、开发票、报税、网络报价、熟悉办公软件、有网上投标、电子商务经验、有财务建材行业经验者优先。
西安犀牛供应链管理有限公司,1 小时前,22370,1791,货运司机,10000-18000元/月,急招专线货运司机,未找到数据,招20人 学历不限 经验不限,西安 - 高陵 - 高陵城区 西安高陵高陵城区鹿苑大道 查看地图,因业务发展，现招聘驾照货运司机，跑城市周边以及省内省外线路，多劳多得，是白天活，也有晚上活，公司有岗前培训！要求：C1驾证及以上证件，驾驶熟练，对货运市场熟悉，年龄25-50之间，能适应白班夜班，跑同城及省外线路，能服从公司调度安排，有兴趣的师傅可以投个简历，我们这边与你联系。
西咸新区新威沃网络科技有限公司,今天,4,0,送餐员/外卖骑手,7500-12000元/月,站点大量招送餐骑手,公司提供车 话补 加班补助 包住 全勤奖励 月度贡献奖 新人奖励2500,招15人 学历不限 经验不限,西安 - 经开区 - 百花村 西安经开区先锋花园北区先锋二路东 查看地图,工作内容：任职要求:1、18-50岁以内，身体健康，无不良嗜好，无前科2、会骑电动车，会使用智能手机，能识别操作手机导航(不熟悉路线没关系，软件自带导航)2、经验不限，学历不限，工作认真负责，吃苦耐劳3、有无经验均可，免费培训，有师父带。薪资待遇:1、有车自带，没车公司安排2、公司配备电动车，头盔，工服，餐箱。3、补贴:全勤奖励，新人补贴，五星好评奖励，恶劣天气补贴等其他补贴薪资待遇一单5--8元不等，加各种单量补助，月薪7000 -10000，每天30到60单=月薪7000-10000左右(多劳多得，接单越多提成越高，五星好评，另有平台大额单，远距离单补助)公司派单，单量充足(配送范围3公里之内，新人入职有老员工带。
未找到数据,今天,292,9,美甲师,5000-8000元/月,诚聘美甲美睫师,包住 包吃 五险一金,招20人 学历不限 经验不限,西安 - 高新区 - 木塔寺公园 西安高新区唐延路49号万达广场高新店 查看地图,岗位职责：1、全国连锁店诚聘：美甲师，美睫师，纹绣师，化妆师，美容师，美甲学徒，半永久学徒，化妆学徒，化妆助理，美容学徒，皮肤管理师；工作可就近安排2、服务完顾客后收费并认真记录顾客档案及填写顾客消费单请顾客签字确认；3、与店内其它员工积极配合，共同努力完成业绩目标任职资格：1、喜欢从事美容行业工作者优先；2、有责任心，服务意识强，热爱美甲事业工作时间：8小时班
西安志成德邦物流有限公司,今天,440,32,快递员,6000-9000元/月,西安德邦高薪诚聘快递员,饭补 话补 房补 亲情1+1 就近分配 公司配车,招100人 学历不限 经验不限,西安 - 雁塔 - 太白南路 西安雁塔太白南路23号卡尔名车快修 查看地图,【岗位要求】1.初中及以上学历，人品端正，有大型快递公司工作经验者优先录用。2.公司配车/自备交通工具，三轮车需带车棚（可喷漆）3.工作时间：早8：00—晚7:00，具体以营业部上下班时间为准。【薪酬福利】1.工资：综合6000-9000元/月，计件提成，多劳多得，上不封顶，月休4天；2.公司协助解决住宿问题，自带四轮车可提供油补；3.员工福利：各类带薪休假，亲情1+1（入职满一年后，公司补贴100元，员工自己提供100元，每月固定200元打入父母帐户）、公司互助基金、中秋月饼到家，提供高于同行业具有竞争力的薪资水平4.各类补贴：话费补贴，夏季高温补贴（冬季取暖补贴），特殊技能补贴。【岗位职责】1.在规定时效内完成收派，保证客户快件不受损失。2.负责及时回收散单货款和月结款项，并在规定时间内如数上缴财务入帐。3.负责开发和维护客户，宣传公司相关业务。【温馨提示】1.德邦快递欢迎离职员工重返公司。2.此招聘为公司直招，德邦快递及其下属分公司在招聘过程中不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物。
未找到数据,今天,406,10,汽车零配件销售,3000-6000元/月,诚聘汽车零件销售,未找到数据,招10人 学历不限 经验不限,西安 - 长安 - 郭杜 西安长安郭杜和信诚汽配精品商行 查看地图,工作内容：负责汽车配件销售职位要求：表达能力强，具有较强沟通能力及交际技巧，有亲和力，有销售经验者优先
未找到数据,今天,142,4,工程造价师,4000-8000元/月,高薪诚聘造价员,周末双休 五险一金 加班补助 业绩提成高薪等你 节日福利团建旅游 飞速成长收获满满,招6人 学历不限 经验不限,西安 - 高新区 - 光华路 高新西安市雁塔区高新路25号瑞欣大厦 查看地图,职位要求：1、工程造价或相近的专业;2、能够独立完成工程造价相应工作；3、了解建设项目投资的基本流程，工程量清单计价规范、预算定额体系及相关规定；4、了解工程造价基础理论、建设工程技术与计量、项目管理等基础理论与相关法规。工作时间：早8：30--12：00，下午14：00---5：30；休 假：法定节假日
未找到数据,今天,1360,37,保姆,4000-8000元/月,急招保姆阿姨4K+,包住 包吃 加班补助,招4人 学历不限 经验不限,西安 - 未央 西安未央凤城五路赛高街区B座15楼 查看地图,北郊家政公司凤城五路地铁口招聘啦！！公司地址：未央区 凤城五路 赛高街区B座15楼阿姨之家一、招聘岗位阿姨之家家政公司主营家政服务以及家政培训两大业务板块 ；公司长期招聘保姆等工作人员；二、工作内容：保姆主要负责做饭、打扫卫生；三、薪资待遇：保姆3500-5000；四、工作要求1.年龄55周岁以下；2.无相关工作经验要求，无学历要求；3.身体健康，无不良嗜好；全西安市安排工作 有意向可随时跟我联系或留个联系方式！
陕西途运速达物流有限公司,今天,2910,277,货运司机,7000-11000元/月,4米2箱车招司机,C1 1~2年 公司提供车 4.2m货车 厢式货车 短途 年底双薪 加班补助 交通补助 房补 过节有福利 团体奖励 个人奖励,招4人 学历不限 经验不限，可接收应届生,西安 - 经开区 - 草滩 西安经开区草滩五路招商物流园 查看地图,工作内容：1.固定仓库每天往外送货，主要小件五金2.一天一趟、固定线路3.爱护公司车辆，保持车辆整洁职位要求：1.C1驾照即可，需要过实习期2.定期清洁，没有不良的驾驶记录
陕西北马途运物流管理有限公司,今天,417,32,面包车司机,8600-12000元/月,招3名烟草司机一天2趟,五险一金 房补 饭补 话补 包吃 无押金，无费用 专职司机，纯开车 不装不卸,招3人 学历不限 经验不限,西安 - 长安 - 韦曲 西安长安西安长安区韦曲周边物流 查看地图,薪资待遇：8600-12000左右，一天8小时，4天假期可调休。工作内容：1.市内仓库转送，无需装卸。2.主要配送烟酒百货，生活必需品，区域就近安排，短途。3.司机负责开车送货，配送至仓库，一天3至4趟。职位要求：1.年龄21-54岁，有无经验均可，具有C1及以上驾照。2.无案底，无吸毒史，具有较强的安全意识。3.无需货运资格证。4.服从安排。工作时间：每月工作26天，一天工作8小时左右，休假可自由调休。工作地点：就近安排，自行选择仓库区域，东西南北郊就近安排。有需要可投递简历或者电话联系。
